GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
32,1953.1906,4932.3318,7799.7797,0.0,0.0,0.0,-4974.8446,-43294.9381,2256.6671,24375.1303,-5557.0853,193.43778552,-6952.683199999996,-5363.64751448,-12316.330714479995
33,1993.3431,4834.8502,7809.1804,0.0,0.0,0.0,-4936.9846,-43309.7389,2200.9745,24373.5332,-5514.6151,193.18218119999997,-7034.842099999994,-5321.4329188,-12356.275018799994
34,1976.0519,4872.0191,7779.9784,0.0,0.0,0.0,-4937.2967,-43510.9683,2240.4726,24382.9458,-5344.7993,195.0933384,-7196.797199999994,-5149.7059616,-12346.503161599992
35,2028.9616,4893.7927,7799.4284,0.0,0.0,0.0,-4940.7451,-43236.5342,2255.1427,24123.379,-5405.9423,192.30073344,-7076.574900000003,-5213.64156656,-12290.216466560001
36,1940.1331,4843.4456,7836.3728,0.0,0.0,0.0,-4950.256,-43513.8225,2231.594,24380.4175,-5377.0017,190.59744672,-7232.115500000007,-5186.4042532799995,-12418.519753280008
37,1941.3473,4892.009,7769.9675,0.0,0.0,0.0,-4948.3241,-43366.0745,2217.4932,24326.7264,-5492.8557,193.2276564,-7166.855200000002,-5299.6280436,-12466.483243600002
38,1984.0937,4951.9549,7765.4069,0.0,0.0,0.0,-4872.6104,-43410.891,2240.5765,24412.9027,-5561.1363,195.58127376,-6928.566700000007,-5365.55502624,-12294.121726240006
39,1954.9145,4948.4937,7815.9697,0.0,0.0,0.0,-4935.8166,-43498.9245,2224.1243,24419.9425,-5472.9313,198.04480127999997,-7071.296399999999,-5274.88649872,-12346.182898719999
40,2000.1704,4918.7281,7873.0682,0.0,0.0,0.0,-4981.847,-43664.3706,2166.7045,24371.4926,-5273.452,190.03529736,-7316.053799999998,-5083.41670264,-12399.470502639999
41,1991.359,4910.4931,7777.4582,0.0,0.0,0.0,-4957.384,-43513.5154,2233.9993,24470.6495,-5482.816,196.37278991999997,-7086.940299999998,-5286.4432100799995,-12373.383510079997
42,1983.2676,4828.6737,7796.579,0.0,0.0,0.0,-4918.7791,-43826.7391,2230.0937,24449.8059,-5174.5055,195.47480159999998,-7457.0983000000015,-4979.0306984,-12436.128998400001
43,1988.2236,4800.5915,7793.6321,0.0,0.0,0.0,-4907.2107,-43712.7918,2249.7299,24522.9072,-5349.3564,194.85088992,-7264.9182,-5154.50551008,-12419.42371008
44,1971.1289,4950.7362,7822.4619,0.0,0.0,0.0,-4956.4521,-43639.8234,2207.2608,24325.9648,-5234.0883,192.11194727999998,-7318.722899999997,-5041.97635272,-12360.699252719996

Receptor Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,1941.6721,4810.4846,7734.9626,0.0,0.0,0.0,-4945.5205,-43422.9961,2181.3951,24379.2901,-5338.576,185.91176951999998,-7320.712099999997,-5152.66423048,-12473.376330479998
1,1997.5757,4717.738,7760.1692,0.0,0.0,0.0,-4889.2364,-43348.9135,2202.5097,24236.3832,-5328.1137,192.41910144,-7323.774100000002,-5135.69459856,-12459.468698560002
2,1904.7771,4829.4188,7765.7357,0.0,0.0,0.0,-4815.725,-43448.2088,2221.7848,24284.6774,-5339.3985,198.71021951999998,-7257.540000000001,-5140.688280480001,-12398.22828048
3,1937.2434,4762.5787,7783.7725,0.0,0.0,0.0,-4875.5042,-43231.4614,2199.4392,24256.9644,-5482.9091,196.52014152,-7166.967399999998,-5286.38895848,-12453.356358479998
4,1854.7347,4896.9226,7745.7795,0.0,0.0,0.0,-4891.9866,-43338.5724,2218.8609,24300.0833,-5418.5286,194.24614608,-7214.178,-5224.28245392,-12438.460453919999
5,1946.3518,4893.771,7720.9199,0.0,0.0,0.0,-4878.8904,-43236.583,2227.8505,24234.3248,-5449.1152,192.13109784,-7092.255399999998,-5256.9841021600005,-12349.239502159999
6,1970.1456,4825.9983,7785.2785,0.0,0.0,0.0,-4809.9956,-43232.6816,2181.7927,24185.0845,-5413.0914,196.96046904,-7094.377600000003,-5216.13093096,-12310.508530960005
7,1977.6147,4883.5719,7790.7183,0.0,0.0,0.0,-4919.2691,-43225.5516,2216.0192,24124.3388,-5329.9507,190.59811416,-7152.557800000002,-5139.352585840001,-12291.910385840003
8,1943.1609,4853.113,7737.4919,0.0,0.0,0.0,-4882.9999,-43308.3435,2169.1749,24222.659,-5370.7627,194.30181144,-7265.743700000006,-5176.46088856,-12442.204588560006
9,1961.7779,4925.8659,7725.3925,0.0,0.0,0.0,-4892.7128,-43019.1062,2227.3116,24093.2938,-5498.1494,194.16836304,-6978.177300000003,-5303.98103696,-12282.158336960003
10,1979.3982,4904.2789,7718.2967,0.0,0.0,0.0,-4874.4283,-43151.0825,2186.1675,24136.7687,-5418.8064,195.35162975999998,-7100.6007999999965,-5223.4547702400005,-12324.055570239998
11,1925.0644,4911.8729,7779.5234,0.0,0.0,0.0,-4972.4152,-43132.2533,2221.9992,24191.2682,-5434.4191,186.38771976,-7074.9403999999995,-5248.03138024,-12322.97178024
12,1914.6342,4864.4539,7729.9175,0.0,0.0,0.0,-4854.5199,-43312.8585,2212.0977,24236.3028,-5349.4222,193.1610816,-7209.972299999998,-5156.2611184,-12366.2334184
13,1943.2673,4970.8306,7665.6066,0.0,0.0,0.0,-4884.8747,-43324.119,2163.0312,24220.3141,-5335.3248,195.9698124,-7245.943899999998,-5139.354987600001,-12385.298887599998
14,1997.274,4823.5271,7809.5635,0.0,0.0,0.0,-4886.1551,-43305.9959,2193.0918,24199.2377,-5328.6576,193.38098832,-7169.456899999994,-5135.276611679999,-12304.733511679993
15,1964.8062,4817.4101,7788.6565,0.0,0.0,0.0,-4909.6918,-43354.7996,2154.297,24292.5254,-5389.9806,188.49483576,-7246.796200000004,-5201.48576424,-12448.281964240003
16,1962.3257,4860.7496,7733.0526,0.0,0.0,0.0,-4928.3203,-43189.6096,2181.2612,24218.2599,-5472.6167,192.72536784,-7162.280900000002,-5279.891332159999,-12442.172232160001
17,1961.1684,4863.1577,7764.5983,0.0,0.0,0.0,-4916.1653,-43606.7786,2188.9994,24302.523,-5209.4445,187.17110352,-7442.497099999993,-5022.27339648,-12464.770496479992
18,1982.7896,4854.2143,7730.9985,0.0,0.0,0.0,-4935.2158,-43450.6759,2179.8102,24242.881,-5245.3224,188.37748871999997,-7395.198100000001,-5056.94491128,-12452.143011280003
19,1967.1367,4874.64,7703.9905,0.0,0.0,0.0,-4983.5548,-43280.8477,2175.1428,24254.445,-5359.5861,187.2772452,-7289.047499999993,-5172.3088548000005,-12461.356354799993
20,1871.0751,4839.7752,7725.4217,0.0,0.0,0.0,-4906.8674,-43547.4846,2194.4333,24459.4595,-5335.0937,190.92820824,-7364.1872,-5144.165491760001,-12508.352691760001
21,1968.4224,4872.7681,7771.0341,0.0,0.0,0.0,-4933.1401,-43618.0465,2194.0374,24356.1854,-5177.6258,187.78759055999998,-7388.7392,-4989.838209439999,-12378.57740944
22,1989.2337,4871.3786,7763.2037,0.0,0.0,0.0,-4891.412,-43382.8098,2187.3906,24185.7822,-5329.4863,191.86520904,-7277.233000000007,-5137.6210909599995,-12414.854090960009
23,1956.5462,4838.3656,7781.812,0.0,0.0,0.0,-4940.1838,-43439.4909,2246.297,24294.6918,-5287.2622,186.1163532,-7261.962099999997,-5101.1458468,-12363.107946799999
24,2018.4596,4828.3885,7727.0517,0.0,0.0,0.0,-4910.9679,-43446.725,2217.496,24239.9829,-5263.3631,189.84941063999997,-7326.314199999997,-5073.513689359999,-12399.827889359996
25,1873.6579,4928.3383,7754.0042,0.0,0.0,0.0,-4938.8749,-43424.1128,2196.0009,24279.1062,-5266.4944,190.51077024,-7331.880200000003,-5075.9836297599995,-12407.863829760003
26,1924.4253,4897.0984,7701.6691,0.0,0.0,0.0,-5005.4759,-43450.328,2207.5963,24363.6123,-5312.9936,191.09271312,-7361.4025,-5121.90088688,-12483.30338688
27,1962.3968,5005.2449,7808.7333,0.0,0.0,0.0,-4912.3247,-43504.5848,2181.1934,24213.6967,-5189.3501,191.0765916,-7245.644399999994,-4998.2735084,-12243.917908399993
28,1972.6885,4733.0656,7741.9518,0.0,0.0,0.0,-4914.9214,-42995.1148,2188.0744,24239.5834,-5650.6563,194.35923144,-7034.672500000001,-5456.297068559999,-12490.96956856
29,1990.7263,4818.3853,7689.2649,0.0,0.0,0.0,-4916.3461,-43475.4413,2180.6035,24259.1161,-5158.3289,189.02346624,-7453.691300000002,-4969.305433760001,-12422.996733760003
30,1942.2128,4863.6858,7794.8839,0.0,0.0,0.0,-4956.9428,-43406.8171,2206.2328,24296.113,-5310.68,188.25142608,-7260.631600000001,-5122.42857392,-12383.060173920001
31,1962.8433,4806.7564,7769.3105,0.0,0.0,0.0,-4939.477,-43216.4067,2203.458,24337.3791,-5563.8976,190.48625783999998,-7076.136400000003,-5373.4113421600005,-12449.547742160003
32,1937.1209,4877.8449,7746.4675,0.0,0.0,0.0,-4933.7545,-43142.368,2244.038,24287.7912,-5544.439,192.47709959999997,-6982.860000000001,-5351.961900400001,-12334.8219004
33,1976.3492,4770.1394,7757.2873,0.0,0.0,0.0,-4899.5468,-43157.6122,2188.3592,24287.7753,-5504.1395,191.89285415999998,-7077.248600000006,-5312.24664584,-12389.495245840008
34,1958.441,4812.6803,7726.065,0.0,0.0,0.0,-4899.9517,-43393.5623,2228.1753,24313.5633,-5315.212,193.31200152,-7254.589099999994,-5121.89999848,-12376.489098479993
35,2007.7993,4846.8372,7746.6512,0.0,0.0,0.0,-4903.0449,-43116.06,2240.0195,24039.8332,-5367.7223,190.68907824,-7137.964499999998,-5177.033221760001,-12314.997721759999
36,1921.5374,4790.2726,7783.4426,0.0,0.0,0.0,-4917.8824,-43381.7501,2216.9216,24288.4398,-5347.9784,188.26917336,-7299.018499999998,-5159.7092266399995,-12458.727726639998
37,1923.0582,4836.7217,7716.4779,0.0,0.0,0.0,-4908.7406,-43227.4031,2202.1778,24238.0419,-5466.8105,192.16816992,-7219.666200000007,-5274.64233008,-12494.308530080007
38,1965.5205,4889.0522,7715.8555,0.0,0.0,0.0,-4836.1559,-43277.7621,2227.3277,24328.1979,-5536.3914,194.3882784,-6987.964199999995,-5342.003121600001,-12329.967321599996
39,1941.6226,4891.9334,7767.2844,0.0,0.0,0.0,-4898.5578,-43365.6047,2209.5783,24329.5588,-5442.2126,196.13265408,-7124.185000000005,-5246.07994592,-12370.264945920004
40,1986.248,4865.8511,7805.4642,0.0,0.0,0.0,-4939.7738,-43514.6837,2152.6228,24282.1213,-5261.0284,188.408754,-7362.150100000003,-5072.619646,-12434.769746000002
41,1973.5079,4851.2753,7725.9781,0.0,0.0,0.0,-4926.4087,-43360.9974,2220.0705,24374.3585,-5459.6608,193.32923255999998,-7142.215800000002,-5266.33156744,-12408.547367440002
42,1971.8151,4769.1023,7749.7388,0.0,0.0,0.0,-4887.0634,-43701.423,2216.522,24366.3959,-5140.2476,193.40629272,-7514.912300000004,-4946.8413072799995,-12461.753607280003
43,1974.1988,4750.8467,7744.0971,0.0,0.0,0.0,-4865.3612,-43577.8652,2235.0399,24441.5537,-5331.4528,193.9492584,-7297.4902,-5137.5035416,-12434.9937416
44,1953.6841,4889.6386,7772.7877,0.0,0.0,0.0,-4913.2642,-43492.8587,2193.2177,24239.777,-5220.9483,190.62138671999998,-7357.017799999998,-5030.32691328,-12387.344713279997

Ligand Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,20.7079,50.3056,52.8577,0.0,0.0,0.0,-13.6231,-139.8866,13.7595,93.5037,-35.8541,5.14525032,77.6247,-30.708849680000004,46.915850320000004
1,24.5081,49.4156,51.9004,0.0,0.0,0.0,-10.9599,-133.3908,13.4827,84.3541,-36.2445,5.15511432,79.31019999999997,-31.089385680000003,48.22081431999997
2,11.6902,50.8955,50.1545,0.0,0.0,0.0,-11.8569,-138.1256,14.4183,90.092,-33.7134,5.13992808,67.26800000000001,-28.57347192,38.69452808000001
3,17.4729,52.1954,53.6137,0.0,0.0,0.0,-10.1676,-136.1276,13.1847,88.8602,-34.8143,5.38421472,79.03170000000003,-29.430085280000004,49.60161472000003
4,21.4861,62.286,55.3132,0.0,0.0,0.0,-10.3548,-133.3026,14.224,87.6552,-37.7319,5.12007768,97.30709999999996,-32.61182232,64.69527767999996
5,19.5676,55.9793,57.7296,0.0,0.0,0.0,-11.2271,-128.4416,15.2113,84.7892,-37.4978,5.13590472,93.60829999999999,-32.36189528,61.24640471999999
6,13.476,54.8392,56.0433,0.0,0.0,0.0,-11.1658,-138.0313,14.3613,92.1323,-36.3507,5.1722265599999995,81.65500000000002,-31.178473440000005,50.47652656000001
7,17.4265,72.5812,61.3736,0.0,0.0,0.0,-10.8276,-148.3965,12.4461,99.0518,-33.038,5.17218264,103.65510000000002,-27.865817359999998,75.78928264000002
8,17.4755,44.2763,54.3495,0.0,0.0,0.0,-10.9953,-137.0849,14.9815,94.1575,-37.8449,5.184561599999999,77.1601,-32.6603384,44.4997616
9,19.2587,53.5753,56.8486,0.0,0.0,0.0,-10.8246,-118.7069,14.6902,77.877,-39.3858,5.26962528,92.7183,-34.116174720000004,58.602125279999996
10,20.3863,51.4184,52.6333,0.0,0.0,0.0,-10.809,-137.3738,13.387,87.3803,-32.2336,5.23172232,77.02250000000001,-27.001877680000003,50.02062232000001
11,20.2162,50.1394,55.3219,0.0,0.0,0.0,-12.5432,-130.6888,11.0393,83.1566,-37.3805,5.2061587199999995,76.64140000000002,-32.17434128,44.46705872000002
12,10.0599,65.1288,55.8732,0.0,0.0,0.0,-9.9634,-133.3052,12.8429,87.1654,-36.508,5.2611976799999995,87.80159999999997,-31.246802320000004,56.554797679999965
13,15.3922,52.9813,57.7882,0.0,0.0,0.0,-13.9466,-146.1893,13.6353,97.0541,-31.8365,5.11416864,76.7152,-26.722331360000002,49.99286864
14,14.4291,51.0254,56.642,0.0,0.0,0.0,-17.532,-134.9662,16.0401,92.3448,-34.3725,4.92345288,77.98320000000001,-29.449047120000003,48.53415288000001
15,10.3056,48.4628,54.1639,0.0,0.0,0.0,-15.0219,-127.9001,13.4353,85.2995,-36.0651,4.92082704,68.7451,-31.144272960000002,37.60082703999999
16,11.1385,59.0378,57.631,0.0,0.0,0.0,-15.7615,-137.5558,13.0694,96.8915,-33.1365,4.97113272,84.45089999999999,-28.165367279999998,56.28553271999999
17,17.621,46.1259,57.2226,0.0,0.0,0.0,-14.5896,-142.847,12.4772,89.8845,-28.577,5.00908608,65.89459999999998,-23.567913920000002,42.32668607999999
18,13.9395,51.0644,55.8956,0.0,0.0,0.0,-13.559,-132.42,17.3731,89.3512,-36.101,5.0778756,81.64480000000003,-31.0231244,50.62167560000003
19,15.0236,54.8548,56.1054,0.0,0.0,0.0,-7.666,-141.7568,15.0864,92.6662,-32.3891,5.22842544,84.31360000000001,-27.16067456,57.15292544000001
20,14.8035,64.6765,55.1053,0.0,0.0,0.0,-10.0318,-130.5557,15.7554,80.2578,-36.3149,5.24168064,90.01100000000001,-31.073219360000003,58.93778064000001
21,13.324,64.3335,51.7559,0.0,0.0,0.0,-13.1897,-121.0052,12.8428,77.1031,-40.8015,4.95100368,85.16439999999999,-35.85049632,49.31390367999999
22,11.1581,56.7045,53.9378,0.0,0.0,0.0,-10.1332,-127.5893,14.926,84.4509,-37.5705,4.91806584,83.4548,-32.652434160000006,50.80236584
23,24.3006,53.143,55.7098,0.0,0.0,0.0,-9.6699,-118.0249,12.3287,89.3407,-48.2925,5.4807048,107.128,-42.8117952,64.31620480000001
24,11.8866,56.5353,51.5779,0.0,0.0,0.0,-11.4188,-139.8615,14.1634,93.3994,-36.2044,5.061168,76.28229999999998,-31.143231999999998,45.13906799999998
25,12.751,55.795,53.0753,0.0,0.0,0.0,-8.4099,-136.5501,14.3898,90.6452,-38.5501,4.99645296,81.69630000000001,-33.55364704,48.14265296000001
26,24.1241,55.2267,55.491,0.0,0.0,0.0,-9.4798,-129.2528,11.517,80.151,-36.1028,4.87194696,87.77719999999997,-31.230853040000003,56.546346959999966
27,15.206,49.3398,49.81,0.0,0.0,0.0,-12.0651,-139.8042,12.3009,90.5763,-36.8519,4.96518048,65.3637,-31.88671952,33.476980479999995
28,13.5674,59.9487,48.7423,0.0,0.0,0.0,-14.35,-134.2093,14.8675,86.0995,-36.5338,5.0190458399999995,74.6661,-31.51475416,43.15134584
29,16.7298,56.5281,51.189,0.0,0.0,0.0,-13.391,-131.9323,15.4745,89.4699,-42.4919,4.94546328,84.068,-37.54643672,46.521563279999995
30,19.0583,64.7888,52.0012,0.0,0.0,0.0,-15.1662,-130.503,15.0182,84.8664,-37.9445,4.940933039999999,90.06370000000001,-33.00356696,57.06013304000001
31,20.3024,60.6429,50.8425,0.0,0.0,0.0,-9.8856,-134.3925,16.097,88.2391,-35.1356,4.9987360800000005,91.8458,-30.136863919999996,61.70893608
32,16.0697,54.4869,53.3123,0.0,0.0,0.0,-14.4868,-137.6691,12.6291,87.3391,-35.8351,4.98304656,71.6812,-30.85205344,40.829146560000005
33,16.9939,64.7108,51.8931,0.0,0.0,0.0,-10.2826,-135.3689,12.6153,85.7579,-35.9973,5.03189856,86.31950000000002,-30.96540144,55.35409856000002
34,17.6109,59.3387,53.9134,0.0,0.0,0.0,-13.0495,-115.4676,12.2973,69.3825,-40.2557,4.96837368,84.0257,-35.28732632,48.73837368
35,21.1623,46.9555,52.7772,0.0,0.0,0.0,-10.9463,-130.2291,15.1232,83.5458,-37.0177,4.96911888,78.38860000000001,-32.048581119999994,46.34001888000002
36,18.5957,53.1731,52.9302,0.0,0.0,0.0,-10.2866,-131.7242,14.6723,91.9777,-39.9675,4.98209328,89.3382,-34.98540672,54.35279328
37,18.2892,55.2872,53.4896,0.0,0.0,0.0,-10.2124,-139.3996,15.3154,88.6846,-35.677,5.12332776,81.45400000000001,-30.55367224,50.90032776000001
38,18.5732,62.9027,49.5514,0.0,0.0,0.0,-7.6089,-131.839,13.2488,84.7048,-35.7231,4.99284072,89.533,-30.730259280000002,58.80274072
39,13.2919,56.5604,48.6853,0.0,0.0,0.0,-11.6378,-134.5259,14.546,90.3837,-38.9039,4.99089024,77.30359999999999,-33.91300976,43.39059023999999
40,13.9223,52.877,67.6041,0.0,0.0,0.0,-16.6854,-131.3454,14.0817,89.3713,-38.9761,4.966938,89.8256,-34.009162,55.81643799999999
41,17.8511,59.2178,51.4801,0.0,0.0,0.0,-14.8434,-141.1889,13.9289,96.291,-39.7029,5.0111683199999995,82.73660000000001,-34.691731680000004,48.044868320000006
42,11.4525,59.5713,46.8403,0.0,0.0,0.0,-11.0869,-125.5254,13.5717,83.41,-41.2994,4.97884968,78.23349999999999,-36.320550319999995,41.91294968
43,14.0248,49.7448,49.535,0.0,0.0,0.0,-9.6556,-132.4126,14.69,81.3535,-32.6109,4.90975344,67.2799,-27.70114656,39.57875344
44,17.4448,61.0976,49.6742,0.0,0.0,0.0,-10.5527,-138.9811,14.043,86.1878,-34.7195,5.06489616,78.9136,-29.654603839999996,49.25899616000001

DELTA Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,DELTA G gas,DELTA G solv,DELTA TOTAL
0,1.1013412404281553e-13,5.968558980384842e-13,4.760636329592671e-13,0.0,0.0,0.0,-29.196500000000718,-7.189500000005694,9.999999986476382e-05,0.00010000000223442385,23.761500000000055,-3.9217679999999833,-36.385800000006995,19.83973199999973,-16.546068000007267
1,1.4210854715202004e-14,9.999999956278316e-05,-4.618527782440651e-13,0.0,0.0,0.0,-29.788400000000202,-0.5661999999948648,2.3092638912203256e-14,4.689582056016661e-13,12.879199999999614,-3.9689337599999748,-30.354499999997714,8.910266239999753,-21.444233759997054
2,3.552713678800501e-15,-3.694822225952521e-13,-3.552713678800501e-13,0.0,0.0,0.0,-16.387099999999688,-3.666499999998763,2.717825964282383e-13,5.542233338928781e-13,14.86650000000045,-2.249105040000013,-20.053599999999264,12.617394960000663,-7.4362050400004165
3,9.999999995713438e-05,-3.907985046680551e-13,-1.2079226507921703e-13,0.0,0.0,0.0,-0.005799999999673844,-0.040500000002595016,2.4868995751603507e-13,-8.384404281969182e-13,0.04029999999966094,-1.1546319456101628e-14,-0.0462000000011642,0.0402999999999345,-0.005900000001233252
4,7.815970093361102e-14,5.684341886080802e-14,0.00010000000070675696,0.0,0.0,0.0,-13.504299999999672,11.312199999997603,-2.948752353404416e-13,1.0658141036401503e-12,2.730799999999597,-2.6300743199999967,-2.1919999999972504,0.10072568000022386,-2.091274319997936
5,-9.999999988963282e-05,-3.552713678800501e-14,9.999999986831654e-05,0.0,0.0,0.0,-35.44119999999936,-13.686599999999203,-6.217248937900877e-14,2.8990143619012088e-12,35.262800000000325,-4.741135200000017,-49.12780000000214,30.521664800000735,-18.606135200002313
