GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
27,1951.8376,4938.4351,7762.9848,0.0,0.0,0.0,-4925.1754,-43366.0747,2201.8797,24512.3594,-5611.869,198.27688536,-6923.753499999995,-5413.59211464,-12337.345614639995
28,2037.27,4916.1935,7815.4338,0.0,0.0,0.0,-4875.2887,-43255.3654,2239.5854,24336.0976,-5560.1862,198.24071976,-6786.073800000002,-5361.9454802400005,-12148.019280240002
29,1952.323,4955.993,7831.8644,0.0,0.0,0.0,-4950.1443,-43457.9823,2216.1201,24396.8125,-5454.9045,193.13523863999998,-7055.013600000006,-5261.769261359999,-12316.782861360007
30,1952.9564,4942.8988,7759.6089,0.0,0.0,0.0,-4900.8183,-43056.7449,2215.4471,24327.9375,-5756.8977,199.96109208,-6758.714499999991,-5556.936607920001,-12315.651107919992
31,1907.1013,4870.6534,7775.9834,0.0,0.0,0.0,-4893.3222,-43111.3174,2219.8258,24375.3299,-5710.9805,201.70432728,-6855.745800000001,-5509.2761727199995,-12365.02197272
32,1987.6696,4967.0637,7778.168,0.0,0.0,0.0,-4876.3879,-43367.4372,2230.4204,24384.7935,-5520.1422,200.20714848,-6895.709900000005,-5319.93505152,-12215.644951520006
33,2003.0208,4915.1768,7761.3388,0.0,0.0,0.0,-4872.0381,-43397.8345,2203.1292,24307.9346,-5425.4455,195.55603920000001,-7079.272399999998,-5229.8894608,-12309.161860799997
34,2042.3871,4913.4426,7850.0397,0.0,0.0,0.0,-4892.7008,-43049.7213,2215.7205,24268.1216,-5723.8141,195.10474968,-6652.710600000002,-5528.709350319999,-12181.419950320002
35,1997.6724,4943.3031,7794.4148,0.0,0.0,0.0,-4921.8672,-43375.6832,2207.5883,24459.3862,-5583.2576,199.99579391999998,-6895.185600000001,-5383.26180608,-12278.447406080002
36,1943.9159,4898.3052,7763.1459,0.0,0.0,0.0,-4918.5894,-43317.5878,2221.2855,24331.1329,-5458.0205,198.978282,-7078.391800000001,-5259.042218,-12337.434018
37,1977.5022,4875.7512,7825.1177,0.0,0.0,0.0,-4945.6229,-43286.6023,2203.7718,24443.2779,-5596.8271,194.43279816,-6906.804399999997,-5402.3943018400005,-12309.198701839998
38,2004.3773,4912.2748,7756.6318,0.0,0.0,0.0,-4959.043,-43166.2663,2191.1357,24456.7951,-5692.9176,196.09654104,-6804.0946,-5496.821058959999,-12300.91565896
39,1968.1134,4952.6391,7745.5814,0.0,0.0,0.0,-4963.5577,-43339.1126,2206.3763,24371.5465,-5531.6013,191.88072,-7058.4136,-5339.72058,-12398.134180000001
40,1901.7367,4873.2933,7806.2959,0.0,0.0,0.0,-4913.2834,-43112.2396,2200.2407,24391.6854,-5728.7032,194.37338087999998,-6852.271000000008,-5534.32981912,-12386.600819120007
41,1979.6225,4895.5325,7809.8857,0.0,0.0,0.0,-4968.5537,-43200.2277,2208.4135,24434.9533,-5626.5406,193.41308664,-6840.373900000002,-5433.12751336,-12273.501413360003
42,1937.6498,4842.7838,7777.5739,0.0,0.0,0.0,-4906.974,-43280.5668,2200.1667,24338.5691,-5492.4244,197.179146,-7090.797500000001,-5295.2452539999995,-12386.042754
43,2006.9001,4927.6398,7828.4608,0.0,0.0,0.0,-5002.9166,-43159.6198,2208.9052,24381.8982,-5672.2241,190.24788528,-6808.7323,-5481.97621472,-12290.70851472
44,2001.9186,4890.695,7777.2878,0.0,0.0,0.0,-4978.0132,-43212.8289,2175.6422,24359.2307,-5501.6344,191.8080072,-6986.067800000008,-5309.8263928,-12295.894192800008

Receptor Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,1992.9109,4952.5122,7826.8729,0.0,0.0,0.0,-4854.5238,-43287.5096,2197.4183,24311.5408,-5502.5084,196.25359032,-6860.778299999998,-5306.25480968,-12167.033109679996
1,1991.5394,4878.5205,7830.0599,0.0,0.0,0.0,-4868.7217,-43346.1668,2200.6325,24216.0496,-5388.9964,193.09296383999998,-7098.086600000002,-5195.90343616,-12293.990036160003
2,1917.4887,4935.8877,7735.8471,0.0,0.0,0.0,-4843.4775,-43064.4315,2175.3646,24207.8376,-5527.3768,196.37031528,-6935.4833,-5331.00648472,-12266.489784719999
3,1990.016,4717.0801,7705.392,0.0,0.0,0.0,-4825.4368,-43298.8199,2208.5899,24319.7161,-5497.4301,197.06175431999998,-7183.462600000003,-5300.36834568,-12483.830945680002
4,1932.1659,4900.6558,7781.6011,0.0,0.0,0.0,-4907.644,-43224.4281,2230.9941,24242.2566,-5469.7596,190.99535688,-7044.398599999997,-5278.76424312,-12323.162843119999
5,1933.4539,4856.2924,7747.8541,0.0,0.0,0.0,-4803.2021,-43187.6795,2215.0772,24281.4885,-5501.2033,197.14891608,-6956.715499999998,-5304.05438392,-12260.76988392
6,1982.8459,4911.7933,7744.171,0.0,0.0,0.0,-4881.4651,-43242.0942,2184.4745,24209.5361,-5407.9454,193.41607968,-7090.7384999999995,-5214.52932032,-12305.26782032
