#Frame    NC1[native] NC1[nonnative] NC1[mindist] NC1[maxdist]
       1           11             69       3.0320      63.3660
       2            5             51       3.1411      63.3010
       3            5             67       2.9980      63.2783
       4            7             58       3.1531      63.9035
       5            1             39       3.1420      63.0918
       6            1             36       3.4254      63.8972
       7            0             48       2.7841      62.6311
       8            1             46       3.1093      64.1238
       9            0             33       3.0755      64.0387
      10            0             72       2.8729      61.9341
      11            1             56       3.2928      64.6459
      12            1             58       2.8890      62.3103
      13            2             68       2.9167      64.0250
      14            0             51       2.8107      63.3526
      15            0             38       3.3613      64.8988
      16            0             38       2.9699      66.7865
      17            0             44       2.8878      67.9995
      18            1             10       3.4828      68.9897
      19            7             62       2.8982      66.3987
      20            3             42       3.2369      64.7643
      21            4             53       3.1984      66.5842
      22            1             49       2.7897      65.2681
      23            1             43       2.9359      66.5018
      24            3             68       2.9130      65.4873
      25            6             55       2.8734      64.8869
      26            2             59       2.8162      66.5141
      27            6             62       2.8799      66.1808
      28            4             60       2.8931      64.5788
      29            3             45       2.8921      65.8561
      30            4             49       2.6016      65.6016
      31            2             53       2.8390      66.1079
      32            1             56       2.8104      63.6678
      33            4             50       2.9158      65.7591
      34            5             60       2.9337      64.5680
      35            3             57       2.7500      65.6547
      36            6             67       2.7540      65.0605
      37            1             35       2.8674      66.3088
      38            3             27       3.4225      65.4215
      39            0             52       2.9635      66.5163
      40            2             71       2.6828      64.4534
      41            2             56       2.9045      64.5119
      42            1             44       3.3869      65.3666
      43            9             33       3.3966      65.1609
      44            4             48       3.2755      65.7119
      45            2             60       2.7503      64.0566
      46            4             54       2.6871      64.0933
      47            4             48       3.0934      64.5792
      48            1             29       2.9588      65.5917
      49            4             24       3.2603      65.8935
      50            4             21       3.4269      65.3746
      51            6             33       3.1607      64.4974
      52            2             23       3.7028      63.9433
      53            2             54       2.8919      63.2833
      54            2             62       2.9299      63.2806
      55            3             48       2.9112      63.7204
      56           10             55       3.1495      63.4567
      57           12             60       2.7507      64.4188
      58            6             45       3.0502      64.4431
      59            8             61       2.7888      63.6972
      60            6             80       3.1251      63.4220
      61           10             98       3.0949      63.5709
      62            6             45       2.6112      63.5428
      63            5             44       3.5726      63.2073
      64            7             32       2.8562      65.9911
      65            5             50       3.4072      64.1034
      66            3             61       2.9467      63.3611
      67            7             43       2.9714      65.2696
      68            4             49       2.9058      64.3742
      69           10             54       2.7805      64.0225
      70            7             62       3.0995      62.5287
      71           10             51       2.8804      62.3732
      72            9             60       3.3457      63.8810
      73            5             72       2.9526      62.0779
      74           15             60       3.1642      60.5363
      75            6             60       3.1344      61.2049
      76            8             61       3.2032      60.6968
      77           16             70       3.1543      62.4330
      78           13             65       3.1188      61.0941
      79           10             49       2.7242      63.0426
      80            8             61       2.9221      63.2344
      81            8             56       3.0670      64.6558
      82            9             63       2.9063      65.5626
      83            9             52       2.8173      64.9753
      84            6             69       3.0531      65.3487
      85            8             51       3.1323      64.7636
      86            2             47       2.8178      63.8633
      87            7             51       3.1485      63.9738
      88            6             64       2.8454      62.1788
      89            5             53       3.2241      64.0292
      90            7             55       2.7627      62.6558
      91            6             61       3.0065      62.9610
      92            5             71       2.7906      61.3526
      93            5             70       2.8199      62.3958
      94            7             71       2.7500      63.5338
      95            6             43       2.9392      64.7230
      96            8             36       3.0510      62.7673
      97            4             53       2.8633      62.1964
      98            4             37       3.2831      64.2182
      99            4             67       3.1579      60.7471
     100            4             53       2.7411      63.7322
     101            3             39       3.1023      63.5491
     102            0             42       3.1839      64.4877
     103            3             37       3.5932      63.9236
     104            1             44       3.4190      64.5497
     105            2             43       3.3051      63.8499
     106            0             36       3.6393      63.3791
     107            2             43       3.3638      62.0715
     108            3             61       3.3174      61.9305
     109            3             54       2.9286      64.3406
     110            3             61       2.7381      65.0199
     111            3             73       2.8561      62.9090
     112            3             46       3.1599      63.3574
     113            3             47       3.2002      65.4043
     114            3             66       2.8089      62.3832
     115            1             47       3.0600      62.5716
     116            0             26       3.5173      63.4793
     117            0             25       3.7661      62.8570
     118            0             43       3.1621      60.1137
     119            0             32       3.7051      62.8745
     120            0             65       3.4201      61.0259
     121            0             53       3.3133      61.1423
     122            0             69       2.9465      63.7804
     123            0             37       3.6744      62.1493
     124            0             69       3.1607      62.5771
     125            0             38       3.0269      62.1291
     126            0             64       3.1837      62.3414
     127            0             40       3.5759      62.1302
     128            1             64       2.8410      62.0411
     129            1             52       3.1104      62.1689
     130            0             48       3.3568      64.0543
     131            0             86       2.9330      65.2658
     132            0             62       2.8163      62.4144
     133            0             78       2.8407      61.9408
     134            0             49       3.4932      63.1287
     135            0             76       2.9451      62.2206
     136            1             83       3.0430      61.6706
     137            0             63       3.3771      61.6076
     138            0             49       2.9768      61.9889
     139            0             37       3.4057      63.3935
     140            0             53       3.5263      64.7757
     141            3             49       2.7780      63.5154
     142            2             28       3.4831      63.2353
     143            0             53       2.8515      63.2595
     144            0             29       2.7255      63.3649
     145            0             71       3.3043      63.5724
     146            0             74       3.0136      63.3888
     147            0             55       3.3051      63.0812
     148            0             38       3.1721      63.5441
     149            0             46       2.8187      65.9482
     150            4             46       2.9155      64.1281
     151            3             58       2.8277      63.4513
     152            7             86       2.6856      62.3724
     153            1             78       2.8493      63.0838
     154            3             59       2.8730      63.6725
     155            3             72       2.7581      65.2991
     156            5             75       2.7921      62.7166
     157            3             84       2.8068      63.0363
     158            2             70       2.7317      65.1988
